         58140714 function calls (58122759 primitive calls) in 162.026 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      673    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      396    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      618    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      396    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      580    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.002    0.002 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:2536(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2541(ImageTransformHandler)
        1    0.000    0.000    0.005    0.005 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3038(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3053(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3064(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3075(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3087(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3098(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3221(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3257(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:473(_E)
        1    0.000    0.000    0.000    0.000 Image.py:514(Image)
        1    0.000    0.000    0.000    0.000 Image.py:76(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:80(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:319(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:345(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:570(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:581(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:87(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:112(ChunkStream)
